sku,title,product_id,status,image_source,akwa_url,catalogue_page,notes
LED1090R,Akwa Dophin LED-1090 RGB 60cm 20W,15538248712265,IMAGED,media/dophin-led-1090.png,https://www.akwa.co.za/product/dophin-led-1090-rgb-60cm-20w/,5,Boxed product photo (shared)
LED0105,Akwa Dophin Clamp LED Mini Tank,15538248515657,PENDING,,https://www.akwa.co.za/product/dophin-clamp-led-105-gt8003-mini-tank/,4,Distinct small clamp photo in catalogue; recommend high-res from akwa
AQD8003,Akwa Dophin Mini Tank GT-8003 12L,15538250154057,PENDING,,https://www.akwa.co.za/product/dophin-mini-tank-12l/,13,Distinct tank photo; recommend high-res from akwa
FG0300,Akwa Fullgain Flat LED 10W 30cm,15538248745033,PENDING,,https://www.akwa.co.za/product/fullgain-flat-led-10w-30cm/,5,Small panel thumbnail; catalogue SKU FG0300
FG0301,Akwa Fullgain Flat LED 14W 45cm,15538248777801,PENDING,,https://www.akwa.co.za/product/fullgain-flat-led-14w-45cm/,5,Catalogue SKU is FG0450 (matched by 14W/45cm)
FG0302,Akwa Fullgain Flat LED 18W 60cm,15538248810569,NO_IMAGE,,,,18W/60cm NOT in catalogue - no image available; verify product exists
FG0303,Akwa Fullgain Flat LED 22W 75cm,15538248843337,PENDING,,https://www.akwa.co.za/product/fullgain-flat-led-22w-75cm/,5,Catalogue SKU is FG0750 (matched by 22W/75cm)
FG0304,Akwa Fullgain Flat LED 26W 90cm,15538248876105,PENDING,,https://www.akwa.co.za/product/fullgain-flat-led-26w-90cm/,5,Catalogue SKU is FG0900 (matched by 26W/90cm)
HTR0600,Akwa SunSun XRB-600W Heater,15538249597001,PENDING,,https://www.akwa.co.za/product/sun-sun-heater-xrb-600-600w/,19,Black disc (Frisbee) heater; 2 near-identical XRB photos on page - disambiguate 600 vs 1000
HTR1000,Akwa SunSun XRB-1000W Heater,15538249629769,PENDING,,https://www.akwa.co.za/product/sun-sun-heater-xrb-1000-1000w/,19,2 near-identical XRB photos - disambiguate vs HTR0600
APS0505,Akwa AC/DC Air Pump APQ-505 510L/H,15538249662537,PENDING,,https://www.akwa.co.za/product/ad-dc-air-pump-apq-505-510-l-h/,17,15+ similar pump photos on page - cannot match exact model without guessing
APS0510,Akwa AC/DC Air Pump APQ-510 1020L/H,15538249695305,PENDING,,https://www.akwa.co.za/product/ac-dc-air-pump-apq510-1020-l-h/,17,Ambiguous among many pumps
APS0203,Akwa AC/DC Air Pump JT-203S 240L/H,15538249728073,PENDING,,https://www.akwa.co.za/product/ac-dc-air-pump-jt-203s-240l-h/,17,Ambiguous among many pumps
AFM0105,Akwa Ceramic Noodles 500ml,15538250022985,PENDING,,https://www.akwa.co.za/product/ceramic-noodles-500ml-bottle/,21,Small bottle image
AFM0106,Akwa Ceramic Noodles 1L,15538250055753,PENDING,,https://www.akwa.co.za/product/ceramic-noodles-1lt-bottle/,21,Small bottle image
AFM0110,Akwa Zeolite Ammonia Remover 500ml,15538250088521,PENDING,,https://www.akwa.co.za/product/zeolite-ammonia-remover-500ml-bottle/,21,Small bottle image
AFM0111,Akwa Zeolite Ammonia Remover 1L,15538250121289,PENDING,,https://www.akwa.co.za/product/zeolite-ammonia-remover-1lt-bottle/,22,Small bottle image
AKW0060,Akwaria Oxygen Drops 50Ml,15544892915785,PENDING,,https://www.akwa.co.za/product/akwaria-oxygen-drops-50ml/,21,Small bottle image
